nerdiness,voted
0,0.064
1,0.813
2,0.841
3,0.593
4,1.0
5,0.0
6,0.624
7,0.777
8,0.45
9,0.437
10,0.633
11,0.915
12,0.973
13,0.373
14,0.726
15,0.44
16,0.192
17,0.529
18,0.739
19,0.72
20,0.381
21,0.299
22,0.586
23,0.482
24,0.0
25,0.619
26,0.8
27,0.776
28,0.448
29,0.0
30,0.036
31,0.239
32,1.0
33,0.524
34,0.664
35,0.024
36,0.449
37,0.459
38,0.619
39,0.755
40,0.692
41,0.16
42,0.706
43,0.0
44,0.79
45,0.287
46,0.751
47,0.307
48,1.0
49,0.77
50,0.43
51,0.0
52,0.795
53,1.0
54,1.0
55,0.78
56,0.196
57,0.64
58,0.377
59,0.654
60,1.0
61,0.432
62,1.0
63,0.562
64,0.666
65,0.505
66,0.266
67,0.509
68,0.0
69,0.528
70,1.0
71,0.484
72,0.491
73,0.78
74,0.952
75,0.0
76,0.0
77,0.716
78,0.645
79,0.854
80,1.0
81,0.731
82,0.241
83,0.096
84,0.383
85,0.632
86,0.94
87,0.705
88,0.754
89,0.782
90,1.0
91,0.29
92,0.303
93,0.464
94,0.908
95,0.0
96,1.0
97,0.683
98,0.339
99,1.0
100,0.488
101,0.0
102,0.188
103,1.0
104,0.463
105,0.307
106,0.471
107,1.0
108,1.0
109,0.062
110,0.758
111,0.024
112,0.433
113,0.56
114,0.775
115,1.0
116,1.0
117,0.232
118,0.798
119,0.791
120,0.036
121,0.167
122,0.0
123,1.0
124,1.0
125,1.0
126,0.651
127,0.619
128,0.441
129,0.0
130,1.0
131,0.624
132,0.784
133,0.361
134,0.276
135,0.0
136,1.0
137,0.668
138,0.999
139,0.399
140,0.933
141,0.607
142,1.0
143,0.467
144,0.762
145,0.0
146,0.0
147,1.0
148,0.533
149,1.0
150,0.072
151,0.635
152,0.949
153,0.766
154,0.034
155,0.003
156,0.0
157,0.359
158,0.72
159,0.615
160,0.001
161,0.503
162,0.584
163,0.721
164,0.695
165,0.294
166,0.364
167,0.473
168,0.996
169,0.426
170,1.0
171,0.717
172,0.815
173,0.755
174,0.0
175,0.45
176,0.338
177,0.356
178,0.751
179,0.523
180,0.747
181,0.883
182,0.347
183,0.863
184,0.979
185,0.824
186,0.976
187,0.746
188,0.422
189,0.451
190,0.62
191,1.0
192,0.206
193,0.641
194,0.727
195,0.298
196,0.368
197,0.577
198,0.488
199,1.0
200,0.181
201,0.573
202,1.0
203,1.0
204,1.0
205,0.713
206,0.507
207,0.769
208,0.965
209,0.511
210,0.96
211,0.864
212,0.0
213,1.0
214,0.613
215,0.839
216,0.478
217,0.717
218,0.902
219,0.0
220,0.908
221,0.195
222,0.44
223,0.534
224,0.503
225,0.35
226,0.288
227,0.564
228,1.0
229,1.0
230,1.0
231,0.437
232,0.434
233,1.0
234,0.266
235,0.623
236,0.171
237,0.114
238,0.578
239,0.622
240,0.666
241,0.804
242,0.0
243,1.0
244,0.0
245,0.087
246,0.673
247,0.879
248,0.656
249,0.424
250,0.784
251,0.905
252,0.18
253,0.48
254,0.77
255,0.749
256,0.721
257,0.318
258,0.87
259,0.779
260,0.748
261,0.0
262,0.442
263,1.0
264,0.45
265,0.597
266,0.817
267,1.0
268,0.713
269,0.659
270,0.0
271,0.418
272,0.0
273,0.326
274,0.719
275,0.268
276,0.0
277,0.5
278,0.403
279,1.0
280,0.603
281,0.198
282,0.968
283,0.668
284,0.362
285,0.787
286,0.0
287,0.676
288,0.527
289,0.988
290,1.0
291,0.402
292,1.0
293,0.444
294,1.0
295,0.476
296,0.693
297,0.502
298,1.0
299,0.703
300,0.295
301,0.713
302,0.0
303,0.328
304,0.55
305,0.898
306,0.622
307,0.35
308,0.714
309,0.619
310,0.812
311,0.0
312,0.544
313,0.0
314,0.63
315,0.442
316,0.417
317,0.0
318,0.669
319,1.0
320,0.614
321,0.793
322,0.698
323,0.752
324,0.501
325,0.765
326,0.63
327,0.442
328,0.856
329,0.706
330,0.63
331,0.992
332,1.0
333,0.587
334,0.374
335,0.374
336,0.496
337,0.894
338,0.0
339,0.502
340,0.607
341,0.482
342,1.0
343,0.516
344,1.0
345,0.75
346,0.491
347,0.852
348,0.336
349,0.432
350,1.0
351,0.68
352,0.987
353,0.674
354,1.0
355,0.49
356,0.872
357,0.835
358,0.482
359,0.186
360,0.303
361,0.467
362,0.444
363,0.375
364,0.911
365,0.565
366,0.654
367,0.614
368,1.0
369,0.0
370,1.0
371,1.0
372,1.0
373,0.506
374,0.527
375,0.427
376,0.0
377,0.591
378,0.703
379,0.542
380,0.406
381,0.555
382,0.803
383,0.568
384,0.664
385,0.663
386,0.747
387,1.0
388,0.749
389,0.749
390,0.814
391,0.424
392,0.628
393,0.3
394,0.593
395,0.37
396,0.728
397,0.717
398,0.522
399,1.0
400,0.607
401,0.301
402,1.0
403,0.0
404,0.68
405,0.262
406,0.668
407,0.478
408,0.722
409,0.506
410,0.494
411,0.705
412,0.0
413,0.632
414,0.447
415,0.024
416,1.0
417,0.0
418,0.0
419,0.002
420,0.611
421,1.0
422,1.0
423,0.0
424,1.0
425,1.0
426,0.001
427,0.983
428,0.955
429,0.571
430,0.729
431,0.922
432,0.657
433,0.304
434,0.736
435,1.0
436,0.538
437,1.0
438,0.436
439,0.471
440,0.0
441,0.669
442,1.0
443,0.0
444,0.621
445,0.983
446,0.251
447,0.181
448,0.803
449,0.199
450,0.824
451,0.628
452,0.209
453,0.288
454,0.68
455,0.462
456,0.668
457,0.0
458,0.416
459,1.0
460,0.558
461,0.278
462,0.525
463,1.0
464,0.413
465,0.546
466,0.202
467,0.619
468,0.565
469,1.0
470,0.282
471,0.821
472,0.61
473,0.557
474,0.441
475,0.457
476,0.784
477,0.684
478,0.664
479,0.71
480,0.524
481,0.514
482,0.719
483,0.735
484,0.252
485,0.437
486,1.0
487,0.705
488,1.0
489,0.637
490,1.0
491,1.0
492,1.0
493,1.0
494,0.641
495,0.722
496,0.935
497,0.493
498,0.979
499,0.0
500,0.75
501,0.387
502,0.548
503,0.722
504,0.448
505,0.948
506,0.799
507,0.051
508,1.0
509,0.37
510,0.693
511,0.458
512,0.0
513,0.745
514,0.518
515,1.0
516,0.492
517,0.273
518,1.0
519,0.493
520,0.535
521,0.1
522,0.805
523,1.0
524,0.661
525,0.519
526,0.666
527,0.515
528,0.934
529,0.242
530,0.0
531,0.163
532,1.0
533,0.0
534,0.744
535,0.638
536,1.0
537,0.574
538,1.0
539,1.0
540,1.0
541,1.0
542,0.793
543,0.685
544,0.0
545,1.0
546,1.0
547,0.819
548,0.0
549,0.851
550,0.683
551,0.412
552,0.66
553,0.439
554,0.66
555,0.581
556,1.0
557,0.406
558,0.52
559,0.585
560,0.719
561,0.773
562,1.0
563,0.209
564,0.48
565,0.309
566,0.0
567,0.495
568,0.563
569,1.0
570,0.0
571,0.396
572,0.974
573,0.395
574,0.0
575,0.761
576,0.0
577,0.508
578,0.0
579,0.589
580,1.0
581,0.572
582,0.458
583,0.682
584,0.264
585,0.879
586,0.654
587,0.657
588,0.309
589,0.222
590,1.0
591,0.849
592,1.0
593,0.623
594,1.0
595,0.779
596,1.0
597,0.0
598,0.63
599,0.0
600,0.57
601,0.699
602,0.6
603,0.598
604,0.086
605,0.0
606,0.894
607,0.761
608,0.856
609,0.766
610,0.0
611,0.379
612,0.731
613,0.975
614,1.0
615,0.018
616,0.839
617,0.453
618,0.0
619,0.0
620,0.605
621,0.987
622,0.635
623,1.0
624,0.523
625,0.032
626,0.139
627,0.534
628,0.0
629,0.0
630,0.579
631,0.206
632,0.03
633,0.598
634,0.292
635,0.966
636,1.0
637,0.688
638,0.106
639,0.886
640,0.868
641,1.0
642,0.762
643,0.577
644,0.0
645,0.989
646,0.429
647,1.0
648,0.702
649,0.714
650,0.765
651,0.189
652,0.702
653,0.65
654,0.121
655,0.694
656,0.919
657,0.406
658,0.0
659,0.83
660,0.579
661,0.963
662,1.0
663,0.432
664,0.605
665,0.999
666,1.0
667,1.0
668,0.739
669,0.559
670,1.0
671,0.0
672,0.0
673,0.168
674,0.803
675,0.37
676,0.713
677,1.0
678,0.678
679,0.578
680,0.881
681,0.506
682,0.999
683,0.001
684,0.66
685,0.991
686,1.0
687,1.0
688,0.48
689,0.444
690,1.0
691,0.555
692,1.0
693,0.499
694,0.429
695,0.5
696,0.214
697,0.23
698,1.0
699,0.681
700,0.917
701,0.58
702,1.0
703,0.496
704,0.366
705,0.272
706,1.0
707,0.659
708,0.939
709,0.543
710,0.66
711,0.546
712,0.0
713,0.5
714,1.0
715,0.482
716,0.026
717,0.999
718,1.0
719,0.564
720,0.566
721,0.618
722,0.661
723,0.85
724,0.347
725,0.352
726,0.756
727,0.928
728,0.788
729,0.0
730,0.037
731,0.197
732,0.888
733,1.0
734,0.152
735,1.0
736,0.169
737,0.0
738,0.833
739,0.0
740,0.0
741,1.0
742,0.438
743,0.976
744,0.225
745,0.209
746,1.0
747,0.295
748,0.572
749,0.576
750,0.0
751,1.0
752,0.224
753,0.591
754,0.298
755,0.368
756,1.0
757,1.0
758,0.707
759,0.344
760,0.78
761,0.0
762,0.772
763,1.0
764,0.0
765,1.0
766,0.718
767,1.0
768,0.543
769,0.367
770,0.229
771,0.987
772,0.519
773,0.0
774,1.0
775,0.473
776,0.999
777,0.441
778,0.0
779,0.55
780,0.803
781,0.429
782,0.867
783,0.3
784,1.0
785,0.0
786,0.35
787,0.653
788,0.727
789,0.117
790,1.0
791,0.557
792,0.566
793,0.83
794,1.0
795,0.057
796,0.967
797,1.0
798,0.296
799,0.847
800,0.0
801,0.672
802,0.665
803,0.632
804,0.0
805,0.306
806,0.691
807,0.0
808,0.261
809,0.324
810,0.57
811,0.204
812,0.579
813,0.718
814,0.84
815,1.0
816,0.606
817,0.289
818,0.276
819,0.79
820,0.223
821,0.691
822,1.0
823,0.472
824,0.388
825,0.859
826,1.0
827,0.0
828,1.0
829,0.569
830,1.0
831,0.654
832,0.741
833,0.783
834,0.032
835,0.456
836,0.0
837,0.724
838,0.679
839,0.0
840,1.0
841,0.522
842,0.52
843,0.673
844,0.55
845,0.381
846,0.997
847,0.702
848,0.281
849,0.23
850,1.0
851,0.469
852,0.382
853,1.0
854,0.0
855,1.0
856,0.482
857,0.0
858,1.0
859,1.0
860,0.577
861,0.518
862,0.0
863,0.427
864,0.0
865,0.692
866,0.821
867,0.259
868,0.601
869,0.57
870,0.713
871,0.681
872,0.89
873,0.688
874,0.853
875,0.53
876,0.648
877,0.609
878,1.0
879,1.0
880,0.005
881,1.0
882,1.0
883,0.0
884,0.907
885,0.743
886,1.0
887,0.777
888,0.11
889,0.908
890,0.793
891,0.0
892,0.323
893,0.633
894,0.0
895,0.0
896,1.0
897,0.574
898,0.0
899,0.924
900,0.849
901,0.0
902,0.563
903,0.241
904,0.663
905,0.432
906,0.387
907,0.681
908,0.0
909,0.0
910,0.68
911,1.0
912,1.0
913,0.987
914,1.0
915,0.666
916,1.0
917,0.659
918,1.0
919,0.0
920,0.0
921,0.025
922,0.623
923,0.488
924,0.515
925,0.552
926,0.318
927,1.0
928,0.205
929,0.815
930,0.412
931,0.983
932,0.709
933,1.0
934,0.0
935,0.763
936,0.043
937,1.0
938,0.087
939,0.338
940,0.19
941,0.522
942,0.31
943,0.579
944,0.004
945,0.803
946,0.668
947,0.0
948,0.0
949,0.694
950,0.728
951,0.88
952,0.0
953,0.42
954,0.75
955,0.021
956,0.542
957,1.0
958,0.0
959,0.84
960,0.784
961,0.716
962,0.659
963,0.711
964,0.335
965,0.633
966,0.0
967,0.618
968,1.0
969,0.244
970,0.0
971,0.439
972,0.196
973,1.0
974,0.62
975,0.851
976,0.062
977,0.94
978,1.0
979,0.348
980,1.0
981,0.27
982,0.0
983,0.854
984,0.0
985,0.0
986,0.231
987,0.998
988,1.0
989,0.467
990,0.65
991,0.977
992,0.433
993,0.246
994,0.369
995,0.786
996,0.419
997,0.163
998,0.359
999,0.612
1000,0.707
1001,0.625
1002,0.232
