nerdiness,voted
0,0.035500000000000004
1,0.805
2,0.84175
3,0.6145
4,1.0
5,0.0
6,0.6415
7,0.793
8,0.42100000000000004
9,0.45625
10,0.60825
11,0.9077500000000001
12,0.98525
13,0.36974999999999997
14,0.71475
15,0.42825
16,0.16225
17,0.515
18,0.71325
19,0.7069999999999999
20,0.33775
21,0.3295
22,0.591
23,0.5082500000000001
24,0.0
25,0.651
26,0.8292499999999999
27,0.75225
28,0.413
29,0.0
30,0.0175
31,0.23525
32,1.0
33,0.5317500000000001
34,0.6849999999999999
35,0.01725
36,0.436
37,0.4295
38,0.62375
39,0.7767499999999999
40,0.6859999999999999
41,0.1535
42,0.7044999999999999
43,0.0
44,0.772
45,0.2735
46,0.733
47,0.28500000000000003
48,1.0
49,0.874
50,0.38325
51,0.0
52,0.77025
53,1.0
54,1.0
55,0.7895
56,0.17400000000000002
57,0.6385
58,0.33399999999999996
59,0.6144999999999999
60,1.0
61,0.4565
62,1.0
63,0.5735
64,0.6775
65,0.532
66,0.246
67,0.5107499999999999
68,0.0
69,0.53825
70,1.0
71,0.48075
72,0.49774999999999997
73,0.76275
74,0.96575
75,0.0
76,0.0
77,0.721
78,0.6335000000000001
79,0.8402499999999999
80,1.0
81,0.7577499999999999
82,0.26125
83,0.09999999999999999
84,0.39899999999999997
85,0.66325
86,0.9197500000000001
87,0.7425
88,0.7955000000000001
89,0.75725
90,1.0
91,0.26725
92,0.3015
93,0.46875
94,0.9192499999999999
95,0.0
96,1.0
97,0.6695000000000001
98,0.31
99,1.0
100,0.504
101,0.0
102,0.21525
103,0.99975
104,0.4215
105,0.27025
106,0.46775
107,1.0
108,1.0
109,0.02225
110,0.7389999999999999
111,0.008
112,0.44425
113,0.5745
114,0.8430000000000001
115,1.0
116,1.0
117,0.2385
118,0.8044999999999999
119,0.8054999999999999
120,0.01375
121,0.14775
122,0.0
123,1.0
124,1.0
125,1.0
126,0.67
127,0.687
128,0.47275
129,0.001
130,1.0
131,0.615
132,0.7605000000000001
133,0.3365
134,0.2535
135,0.0
136,0.9992500000000001
137,0.67175
138,0.99975
139,0.41350000000000003
140,0.94225
141,0.63625
142,1.0
143,0.46225
144,0.74875
145,0.0
146,0.0
