index,nerdiness
0,0.0
1,0.821
2,0.86
3,0.584
4,1.0
5,0.0
6,0.629
7,0.751
8,0.467
9,0.443
10,0.634
11,0.903
12,1.0
13,0.394
14,0.74
15,0.427
16,0.185
17,0.502
18,0.737
19,0.694
20,0.314
21,0.353
22,0.607
23,0.501
24,0.0
25,0.647
26,0.788
27,0.784
28,0.447
29,0.0
30,0.0
31,0.26
32,1.0
33,0.528
34,0.697
35,0.0
36,0.413
37,0.45
38,0.628
39,0.78
40,0.685
41,0.146
42,0.72
43,0.0
44,0.817
45,0.271
46,0.73
47,0.268
48,1.0
49,0.839
50,0.393
51,0.0
52,0.813
53,1.0
54,1.0
55,0.775
56,0.231
57,0.625
58,0.371
59,0.638
60,1.0
61,0.473
62,1.0
63,0.549
64,0.653
65,0.556
66,0.258
67,0.53
68,0.0
69,0.559
70,1.0
71,0.448
72,0.505
73,0.748
74,1.0
75,0.0
76,0.0
77,0.738
78,0.611
79,0.828
80,1.0
81,0.738
82,0.304
83,0.111
84,0.356
85,0.634
86,0.922
87,0.672
88,0.771
89,0.793
90,1.0
91,0.234
92,0.286
93,0.448
94,0.87
95,0.0
96,1.0
97,0.707
98,0.331
99,1.0
100,0.488
101,0.0
102,0.17
103,1.0
104,0.455
105,0.311
106,0.492
107,1.0
108,1.0
109,0.0
110,0.763
111,0.0
112,0.452
113,0.546
114,0.784
115,1.0
116,1.0
117,0.231
118,0.826
119,0.846
120,0.0
121,0.188
122,0.0
123,1.0
124,1.0
125,1.0
126,0.667
127,0.637
128,0.436
129,0.0
130,1.0
131,0.613
132,0.817
133,0.356
134,0.266
135,0.0
136,1.0
137,0.676
138,1.0
139,0.405
140,0.932
141,0.636
142,1.0
143,0.476
144,0.758
145,0.0
146,0.0
147,1.0
148,0.529
149,1.0
150,0.071
151,0.64
152,0.961
153,0.767
154,0.036
155,0.0
156,0.0
157,0.33
158,0.673
159,0.621
160,0.0
161,0.479
162,0.598
163,0.739
164,0.665
165,0.251
166,0.329
167,0.47
168,1.0
169,0.398
170,1.0
171,0.682
172,0.839
173,0.74
174,0.0
175,0.465
176,0.38
177,0.332
178,0.73
179,0.502
180,0.73
181,0.868
182,0.373
183,0.848
184,1.0
185,0.831
186,1.0
187,0.729
188,0.404
189,0.435
190,0.585
191,1.0
192,0.192
193,0.623
194,0.731
195,0.342
196,0.359
197,0.555
198,0.519
199,1.0
200,0.205
201,0.543
202,1.0
203,1.0
204,1.0
205,0.661
206,0.497
207,0.764
208,0.961
209,0.513
210,0.96
211,0.898
212,0.0
213,1.0
214,0.609
215,0.843
216,0.495
217,0.725
218,0.853
219,0.0
220,0.902
221,0.175
222,0.46
223,0.522
224,0.534
225,0.344
226,0.286
227,0.554
228,1.0
229,1.0
230,1.0
231,0.454
232,0.418
233,1.0
234,0.252
235,0.622
236,0.165
237,0.13
238,0.561
239,0.607
240,0.667
241,0.815
242,0.0
243,1.0
244,0.0
245,0.103
246,0.662
247,0.844
248,0.662
249,0.445
250,0.786
251,0.87
252,0.183
253,0.457
254,0.735
255,0.759
256,0.693
257,0.298
258,0.876
259,0.801
260,0.717
261,0.0
262,0.419
263,1.0
264,0.403
265,0.613
266,0.819
267,1.0
268,0.733
269,0.649
270,0.0
271,0.432
272,0.0
273,0.296
274,0.735
275,0.309
276,0.0
277,0.502
278,0.372
279,1.0
280,0.608
281,0.176
282,0.95
283,0.638
284,0.348
285,0.789
286,0.0
287,0.661
288,0.549
289,1.0
290,1.0
291,0.388
292,1.0
293,0.449
294,1.0
295,0.487
296,0.692
297,0.501
298,1.0
299,0.737
300,0.298
301,0.709
302,0.0
303,0.271
304,0.52
305,0.877
306,0.638
307,0.327
308,0.712
309,0.602
310,0.811
311,0.0
312,0.527
313,0.0
314,0.613
315,0.465
316,0.42
317,0.0
318,0.673
319,1.0
320,0.637
321,0.79
322,0.674
323,0.781
324,0.507
325,0.721
326,0.643
327,0.399
328,0.851
329,0.72
330,0.613
331,1.0
332,1.0
333,0.598
334,0.415
335,0.353
336,0.476
337,0.908
338,0.0
339,0.467
340,0.603
341,0.522
342,1.0
343,0.475
344,1.0
345,0.739
346,0.537
347,0.863
348,0.285
349,0.432
350,1.0
351,0.679
352,1.0
353,0.665
354,1.0
355,0.482
356,0.849
357,0.867
358,0.492
359,0.219
360,0.339
361,0.494
362,0.437
363,0.374
364,0.917
365,0.594
366,0.61
367,0.602
368,1.0
369,0.0
370,1.0
371,1.0
372,1.0
373,0.498
374,0.495
375,0.458
376,0.0
377,0.563
378,0.72
379,0.532
380,0.416
381,0.563
382,0.819
383,0.573
384,0.635
385,0.604
386,0.766
387,1.0
388,0.772
389,0.733
390,0.852
391,0.445
392,0.636
393,0.315
394,0.611
395,0.404
396,0.764
397,0.698
398,0.507
399,1.0
400,0.63
401,0.315
402,1.0
403,0.0
404,0.687
405,0.268
406,0.68
407,0.49
408,0.763
409,0.505
410,0.521
411,0.686
412,0.0
413,0.634
414,0.445
415,0.0
416,1.0
417,0.0
418,0.0
419,0.0
420,0.624
421,1.0
422,1.0
423,0.0
424,1.0
425,1.0
426,0.0
427,1.0
428,1.0
429,0.564
430,0.759
431,0.904
432,0.628
433,0.312
434,0.706
435,1.0
436,0.595
437,1.0
438,0.473
439,0.44
440,0.0
441,0.688
442,1.0
443,0.0
444,0.6
445,1.0
446,0.258
447,0.206
448,0.776
449,0.202
450,0.827
451,0.695
452,0.225
453,0.3
454,0.665
455,0.453
456,0.664
457,0.0
458,0.44
459,1.0
460,0.553
461,0.262
462,0.512
463,1.0
464,0.392
465,0.514
466,0.187
467,0.608
468,0.52
469,1.0
470,0.301
471,0.821
472,0.624
473,0.549
474,0.451
475,0.457
476,0.792
477,0.612
478,0.653
479,0.717
480,0.508
481,0.513
482,0.72
483,0.729
484,0.258
485,0.412
486,1.0
487,0.671
488,1.0
489,0.688
490,1.0
491,1.0
492,1.0
493,1.0
494,0.635
495,0.725
496,0.977
497,0.462
498,1.0
499,0.0
500,0.726
501,0.351
502,0.538
503,0.746
504,0.395
505,1.0
506,0.805
507,0.0
508,1.0
509,0.382
510,0.698
511,0.468
512,0.0
513,0.745
514,0.517
515,1.0
516,0.473
517,0.276
518,1.0
519,0.508
520,0.483
521,0.152
522,0.824
523,1.0
524,0.633
525,0.523
526,0.703
527,0.498
528,0.918
529,0.263
530,0.0
531,0.189
532,1.0
533,0.0
534,0.742
535,0.641
536,1.0
537,0.566
538,1.0
539,1.0
540,1.0
541,1.0
542,0.79
543,0.715
544,0.0
545,1.0
546,1.0
547,0.803
548,0.0
549,0.855
550,0.707
551,0.411
552,0.685
553,0.474
554,0.663
555,0.612
556,1.0
557,0.389
558,0.514
559,0.628
560,0.728
561,0.744
562,1.0
563,0.261
564,0.481
565,0.308
566,0.0
567,0.507
568,0.543
569,1.0
570,0.0
571,0.393
572,0.97
573,0.358
574,0.0
575,0.766
576,0.0
577,0.54
578,0.0
579,0.562
580,1.0
581,0.559
582,0.497
583,0.685
584,0.29
585,0.896
586,0.641
587,0.655
588,0.313
589,0.23
590,1.0
591,0.859
592,1.0
593,0.641
594,1.0
595,0.788
596,1.0
597,0.0
598,0.646
599,0.0
600,0.555
601,0.692
602,0.582
603,0.612
604,0.0
605,0.0
606,0.885
607,0.773
608,0.83
609,0.756
610,0.0
611,0.407
612,0.749
613,1.0
614,1.0
615,0.0
616,0.845
617,0.492
618,0.0
619,0.0
620,0.64
621,1.0
622,0.653
623,1.0
624,0.516
625,0.0
626,0.12
627,0.536
628,0.0
629,0.0
630,0.621
631,0.227
632,0.0
633,0.623
634,0.276
635,1.0
636,1.0
637,0.688
638,0.091
639,0.909
640,0.873
641,1.0
642,0.765
643,0.554
644,0.0
645,0.979
646,0.441
647,1.0
648,0.681
649,0.733
650,0.775
651,0.186
652,0.752
653,0.64
654,0.142
655,0.665
656,0.923
657,0.388
658,0.0
659,0.848
660,0.561
661,1.0
662,1.0
663,0.387
664,0.634
665,1.0
666,1.0
667,1.0
668,0.71
669,0.527
670,1.0
671,0.0
672,0.0
673,0.156
674,0.787
675,0.404
676,0.716
677,1.0
678,0.686
679,0.561
680,0.911
681,0.509
682,1.0
683,0.0
684,0.643
685,1.0
686,1.0
687,1.0
688,0.451
689,0.414
690,1.0
691,0.51
692,1.0
693,0.472
694,0.411
695,0.498
696,0.228
697,0.251
698,1.0
699,0.67
700,0.9
701,0.577
702,1.0
703,0.491
704,0.34
705,0.305
706,1.0
707,0.67
708,0.925
709,0.524
710,0.646
711,0.538
712,0.0
713,0.498
714,1.0
715,0.467
716,0.0
717,1.0
718,1.0
719,0.564
720,0.58
721,0.602
722,0.647
723,0.833
724,0.347
725,0.369
726,0.775
727,0.904
728,0.793
729,0.0
730,0.003
731,0.227
732,0.934
733,1.0
734,0.157
735,1.0
736,0.165
737,0.0
738,0.863
739,0.0
740,0.0
741,1.0
742,0.429
743,1.0
744,0.227
745,0.207
746,1.0
747,0.308
748,0.594
749,0.568
750,0.0
751,1.0
752,0.224
753,0.596
754,0.278
755,0.326
756,1.0
757,1.0
758,0.696
759,0.384
760,0.759
761,0.0
762,0.761
763,1.0
764,0.0
765,1.0
766,0.793
767,1.0
768,0.538
769,0.356
770,0.252
771,1.0
772,0.503
773,0.0
774,1.0
775,0.435
776,1.0
777,0.435
778,0.0
779,0.568
780,0.865
781,0.407
782,0.889
783,0.309
784,1.0
785,0.0
786,0.36
787,0.604
788,0.73
789,0.094
790,1.0
791,0.533
792,0.586
793,0.835
794,1.0
795,0.081
796,1.0
797,1.0
798,0.327
799,0.896
800,0.0
801,0.631
802,0.647
803,0.632
804,0.0
805,0.321
806,0.7
807,0.0
808,0.299
809,0.307
810,0.584
811,0.196
812,0.573
813,0.744
814,0.836
815,1.0
816,0.605
817,0.313
818,0.263
819,0.791
820,0.212
821,0.705
822,1.0
823,0.467
824,0.424
825,0.883
826,1.0
827,0.0
828,1.0
829,0.519
830,1.0
831,0.659
832,0.729
833,0.764
834,0.045
835,0.436
836,0.0
837,0.716
838,0.668
839,0.0
840,1.0
841,0.496
842,0.523
843,0.58
844,0.563
845,0.4
846,1.0
847,0.711
848,0.28
849,0.237
850,1.0
851,0.449
852,0.42
853,1.0
854,0.0
855,1.0
856,0.501
857,0.0
858,1.0
859,1.0
860,0.578
861,0.517
862,0.0
863,0.435
864,0.0
865,0.693
866,0.825
867,0.245
868,0.611
869,0.564
870,0.763
871,0.692
872,0.866
873,0.707
874,0.844
875,0.532
876,0.656
877,0.606
878,1.0
879,1.0
880,0.0
881,1.0
882,1.0
883,0.0
884,0.915
885,0.693
886,1.0
887,0.78
888,0.094
889,0.906
890,0.74
891,0.0
892,0.286
893,0.646
894,0.0
895,0.0
896,1.0
897,0.573
898,0.0
899,0.917
900,0.849
901,0.0
902,0.561
903,0.243
904,0.644
905,0.387
906,0.348
907,0.691
908,0.0
909,0.0
910,0.706
911,1.0
912,1.0
913,1.0
914,1.0
915,0.637
916,1.0
917,0.683
918,1.0
919,0.0
920,0.0
921,0.0
922,0.602
923,0.494
924,0.521
925,0.549
926,0.345
927,1.0
928,0.239
929,0.866
930,0.435
931,1.0
932,0.671
933,1.0
934,0.0
935,0.779
936,0.0
937,1.0
938,0.107
939,0.329
940,0.183
941,0.519
942,0.334
943,0.596
944,0.0
945,0.809
946,0.68
947,0.0
948,0.0
949,0.736
950,0.721
951,0.873
952,0.0
953,0.473
954,0.776
955,0.0
956,0.557
957,1.0
958,0.0
959,0.825
960,0.785
961,0.748
962,0.646
963,0.681
964,0.336
965,0.655
966,0.0
967,0.602
968,1.0
969,0.248
970,0.0
971,0.42
972,0.172
973,1.0
974,0.617
975,0.845
976,0.084
977,0.944
978,1.0
979,0.353
980,1.0
981,0.271
982,0.0
983,0.86
984,0.0
985,0.0
986,0.251
987,1.0
988,1.0
989,0.483
990,0.676
991,1.0
992,0.495
993,0.246
994,0.405
995,0.778
996,0.429
997,0.183
998,0.381
999,0.639
1000,0.714
1001,0.565
1002,0.24
1003,0.2
1004,0.952
1005,0.746
1006,0.317
1007,0.864
1008,0.0
1009,0.766
1010,1.0
1011,0.581
1012,0.486
1013,0.491
1014,0.469
1015,0.502
1016,0.674
1017,0.603
1018,0.806
1019,0.622
1020,0.298
1021,0.506
1022,0.307
1023,0.503
1024,0.317
1025,1.0
1026,0.682
1027,1.0
1028,0.302
1029,1.0
1030,0.273
1031,0.598
1032,0.562
1033,1.0
1034,0.0
1035,0.821
1036,0.651
1037,0.406
1038,0.895
1039,0.159
1040,0.749
1041,0.89
1042,0.54
1043,0.449
1044,0.475
1045,1.0
1046,0.878
1047,0.655
1048,1.0
1049,1.0
1050,0.465
1051,1.0
1052,1.0
1053,1.0
1054,0.559
1055,0.344
1056,0.502
1057,1.0
1058,0.0
1059,0.0
1060,0.727
1061,0.898
1062,1.0
1063,0.62
1064,1.0
1065,0.572
1066,0.658
1067,0.888
1068,0.665
1069,0.488
1070,0.808
1071,0.673
1072,0.769
1073,0.518
1074,0.302
1075,0.803
1076,0.414
1077,0.695
1078,0.0
1079,1.0
1080,0.75
1081,0.679
1082,0.0
1083,0.593
1084,0.815
1085,0.592
1086,1.0
1087,0.735
1088,1.0
1089,1.0
1090,0.0
1091,0.884
1092,0.462
1093,1.0
1094,0.0
1095,0.462
1096,1.0
1097,0.646
1098,1.0
1099,0.48
1100,0.0
1101,0.429
1102,0.0
1103,0.0
1104,0.702
1105,0.0
1106,1.0
1107,1.0
1108,0.058
1109,0.949
1110,1.0
1111,1.0
1112,0.7
1113,0.622
1114,0.588
1115,0.89
1116,0.0
1117,0.681
1118,0.0
1119,0.643
1120,0.644
1121,0.866
1122,0.0
1123,0.312
1124,0.436
1125,0.0
1126,0.0
1127,1.0
1128,0.438
1129,0.0
1130,0.626
1131,0.51
1132,1.0
1133,0.425
1134,0.603
1135,1.0
1136,0.508
1137,0.394
1138,0.796
1139,0.673
1140,0.6
1141,0.225
1142,0.481
1143,0.252
1144,0.099
1145,0.325
1146,0.831
1147,0.656
1148,0.583
1149,0.281
1150,0.614
1151,1.0
1152,1.0
1153,0.363
1154,0.408
1155,0.629
1156,1.0
1157,0.568
1158,0.0
1159,0.491
1160,0.475
1161,0.0
1162,0.417
1163,0.585
1164,0.405
1165,0.699
1166,0.483
1167,0.636
1168,0.674
1169,0.893
1170,0.753
1171,1.0
1172,1.0
1173,0.235
1174,0.299
1175,0.095
1176,0.503
1177,0.696
1178,0.035
1179,0.0
1180,0.522
1181,0.456
1182,1.0
1183,1.0
1184,0.791
1185,0.22
1186,0.574
1187,1.0
1188,0.614
1189,0.696
1190,0.498
1191,0.0
1192,0.328
1193,0.0
1194,0.699
1195,0.027
1196,0.726
1197,0.739
1198,0.202
1199,0.735
1200,1.0
1201,0.367
1202,0.418
1203,0.627
1204,0.095
1205,1.0
1206,0.641
1207,0.0
1208,0.639
1209,0.615
1210,1.0
1211,0.58
1212,0.494
1213,0.569
1214,0.224
1215,0.684
1216,0.578
1217,0.437
1218,0.486
1219,0.866
1220,0.511
1221,0.624
1222,0.578
1223,0.162
1224,0.531
1225,0.0
1226,1.0
1227,1.0
1228,0.375
1229,0.157
1230,0.396
1231,0.414
1232,0.67
1233,1.0
1234,0.284
1235,0.816
1236,0.6
1237,0.299
1238,1.0
1239,0.679
1240,0.656
1241,1.0
1242,0.35
1243,0.706
1244,0.647
1245,0.12
1246,0.562
1247,0.641
1248,0.395
