index,nerdiness
0,0.92
1,0.73
2,0.845
3,0.575
4,0.95
5,0.97
6,0.625
7,0.76
8,0.565
9,0.565
10,0.535
11,0.89
12,0.955
13,0.62
14,0.7
15,0.585
16,0.885
17,0.51
18,0.745
19,0.665
20,0.615
21,0.735
22,0.605
23,0.505
24,0.915
25,0.62
26,0.8
27,0.75
28,0.65
29,0.96
30,0.91
31,0.74
32,0.95
33,0.505
34,0.715
35,0.935
36,0.565
37,0.585
38,0.555
39,0.78
40,0.68
41,0.91
42,0.705
43,0.795
44,0.81
45,0.73
46,0.75
47,0.71
48,0.925
49,0.81
50,0.6
51,0.93
52,0.73
53,0.925
54,0.945
55,0.795
56,0.705
57,0.63
58,0.67
59,0.625
60,0.895
61,0.545
62,0.92
63,0.525
64,0.68
65,0.5
66,0.72
67,0.515
68,0.845
69,0.54
70,1.0
71,0.505
72,0.515
73,0.745
74,0.735
75,0.875
76,0.925
77,0.76
78,0.52
79,0.815
80,0.94
81,0.72
82,0.72
83,0.73
84,0.66
85,0.59
86,0.915
87,0.74
88,0.795
89,0.795
90,0.905
91,0.805
92,0.705
93,0.555
94,0.875
95,0.915
96,0.9
97,0.76
98,0.68
99,0.895
100,0.58
101,0.965
102,0.695
103,0.875
104,0.565
105,0.73
106,0.53
107,0.91
108,0.995
109,0.845
110,0.75
111,0.985
112,0.55
113,0.555
114,0.8
115,0.9
116,0.95
117,0.885
118,0.77
119,0.775
120,0.925
121,0.835
122,0.91
123,0.94
124,0.91
125,0.98
126,0.605
127,0.77
128,0.57
129,0.89
130,0.94
131,0.605
132,0.77
133,0.73
134,0.875
135,0.69
136,0.93
137,0.63
138,0.98
139,0.595
140,0.905
141,0.6
142,0.95
143,0.54
144,0.72
145,0.925
146,0.985
147,0.98
148,0.52
149,0.98
150,0.895
151,0.655
152,0.94
153,0.72
154,0.915
155,0.725
156,0.93
157,0.63
158,0.725
159,0.555
160,0.94
161,0.515
162,0.51
163,0.8
164,0.665
165,0.76
166,0.675
167,0.535
168,0.86
169,0.575
170,0.88
171,0.75
172,0.84
173,0.74
174,0.875
175,0.585
176,0.625
177,0.67
178,0.74
179,0.585
180,0.69
181,0.9
182,0.72
183,0.86
184,0.905
185,0.805
186,0.9
187,0.805
188,0.625
189,0.615
190,0.655
191,0.995
192,0.845
193,0.585
194,0.67
195,0.665
196,0.55
197,0.615
198,0.52
199,0.975
200,0.905
201,0.555
202,0.86
203,0.89
204,0.945
205,0.72
206,0.52
207,0.775
208,0.955
209,0.535
210,0.94
211,0.89
212,0.91
213,0.885
214,0.625
215,0.82
216,0.535
217,0.72
218,0.83
219,0.985
220,0.9
221,0.835
222,0.505
223,0.52
224,0.525
225,0.645
226,0.735
227,0.59
228,0.92
229,0.905
230,0.97
231,0.615
232,0.635
233,0.865
234,0.765
235,0.55
236,0.79
237,0.85
238,0.52
239,0.625
240,0.745
241,0.835
242,0.895
243,0.88
244,0.86
245,0.84
246,0.64
247,0.835
248,0.68
249,0.595
250,0.79
251,0.865
252,0.84
253,0.535
254,0.765
255,0.695
256,0.68
257,0.76
258,0.8
259,0.78
260,0.73
261,0.84
262,0.525
263,0.845
264,0.555
265,0.56
266,0.755
267,0.935
