index,nerdiness
0,0.85
1,0.77
2,0.87
3,0.66
4,0.92
5,0.98
6,0.595
7,0.79
8,0.555
9,0.57
10,0.595
11,0.905
12,0.925
13,0.63
14,0.735
15,0.56
16,0.86
17,0.57
18,0.72
19,0.7
20,0.6
21,0.67
22,0.59
23,0.53
24,0.88
25,0.68
26,0.835
27,0.805
28,0.585
29,0.97
30,0.93
31,0.76
32,0.945
33,0.565
34,0.79
35,0.925
36,0.555
37,0.655
38,0.66
39,0.745
40,0.7
41,0.845
42,0.66
43,0.965
44,0.82
45,0.755
46,0.785
47,0.745
48,0.96
49,0.835
50,0.63
51,0.905
52,0.775
53,0.9
54,0.92
55,0.75
56,0.75
57,0.64
58,0.72
59,0.575
60,0.9
61,0.53
62,0.88
63,0.605
64,0.735
65,0.555
66,0.785
67,0.515
68,0.84
69,0.53
70,0.99
71,0.56
72,0.565
73,0.795
74,0.84
75,0.815
76,0.945
77,0.705
78,0.545
79,0.82
80,0.955
81,0.75
82,0.825
83,0.865
84,0.645
85,0.63
86,0.905
87,0.71
88,0.76
89,0.79
90,0.895
91,0.8
92,0.66
93,0.54
94,0.86
95,0.955
96,0.925
97,0.715
98,0.65
99,0.9
100,0.515
101,0.955
102,0.755
103,0.84
104,0.545
105,0.695
106,0.525
107,0.915
108,0.995
109,0.86
110,0.745
111,0.93
112,0.525
113,0.55
114,0.785
115,0.895
116,0.955
117,0.85
118,0.8
119,0.76
120,0.92
121,0.84
122,0.86
123,0.925
124,0.92
125,0.98
126,0.66
127,0.705
128,0.545
129,0.85
130,0.99
131,0.585
132,0.805
133,0.78
134,0.875
135,0.95
136,0.96
137,0.72
138,0.99
139,0.555
140,0.9
141,0.51
142,0.905
143,0.505
144,0.73
145,0.925
146,0.985
147,0.96
148,0.565
149,0.995
150,0.905
151,0.66
152,0.965
153,0.75
154,0.955
155,0.935
156,0.91
157,0.63
158,0.685
159,0.605
160,0.945
161,0.6
162,0.555
163,0.81
164,0.645
165,0.82
166,0.675
167,0.545
168,0.875
169,0.665
170,0.885
171,0.77
172,0.8
173,0.68
174,0.89
175,0.53
176,0.695
177,0.695
178,0.705
179,0.545
180,0.68
181,0.915
182,0.685
183,0.875
184,0.885
185,0.845
186,0.86
187,0.735
188,0.63
189,0.63
190,0.57
191,0.975
192,0.845
193,0.595
194,0.74
195,0.67
196,0.585
197,0.58
198,0.52
199,0.975
200,0.72
201,0.565
202,0.905
203,0.895
204,0.91
205,0.655
206,0.52
207,0.75
208,0.96
209,0.505
210,0.945
211,0.89
212,0.87
213,0.915
214,0.575
215,0.8
216,0.575
217,0.68
218,0.81
219,0.99
220,0.925
221,0.875
222,0.615
223,0.525
224,0.5
225,0.695
226,0.685
227,0.545
228,0.935
229,0.94
230,0.985
231,0.625
232,0.575
233,0.83
234,0.75
235,0.605
236,0.845
237,0.86
238,0.56
239,0.62
240,0.675
241,0.775
242,0.925
243,0.93
244,0.885
245,0.915
246,0.645
247,0.805
248,0.63
249,0.605
250,0.8
251,0.875
252,0.84
253,0.555
254,0.695
255,0.82
256,0.71
257,0.775
258,0.845
259,0.8
260,0.725
261,0.875
262,0.565
263,0.875
264,0.63
265,0.56
266,0.79
267,0.97
268,0.72
269,0.615
270,0.9
271,0.565
272,0.905
273,0.655
274,0.7
275,0.735
276,0.94
277,0.545
278,0.715
279,0.95
280,0.605
281,0.795
282,0.925
283,0.72
284,0.6
285,0.755
286,0.895
287,0.68
288,0.54
289,0.99
290,0.97
291,0.57
292,0.895
293,0.58
294,0.915
295,0.555
296,0.66
297,0.51
298,0.91
299,0.75
300,0.78
301,0.665
302,0.855
303,0.775
304,0.51
305,0.875
306,0.605
307,0.67
308,0.625
309,0.62
310,0.79
311,0.86
312,0.505
313,0.97
314,0.625
315,0.52
316,0.615
317,0.93
318,0.695
319,0.845
320,0.625
321,0.76
322,0.655
323,0.71
324,0.54
325,0.685
326,0.56
327,0.655
328,0.84
329,0.66
330,0.625
331,0.985
332,0.94
333,0.585
334,0.615
335,0.655
336,0.54
337,0.93
338,0.845
339,0.52
340,0.565
341,0.61
342,0.94
343,0.545
344,0.945
345,0.77
346,0.55
347,0.815
348,0.78
349,0.535
350,0.935
351,0.665
352,0.935
353,0.63
354,0.82
355,0.57
356,0.83
357,0.86
358,0.515
359,0.79
360,0.72
361,0.64
362,0.615
363,0.605
364,0.88
365,0.585
366,0.62
367,0.66
368,0.93
369,0.9
370,0.98
371,0.94
372,0.91
373,0.51
374,0.58
375,0.565
376,0.93
377,0.59
378,0.695
379,0.55
380,0.63
381,0.525
382,0.83
383,0.59
384,0.63
385,0.575
386,0.76
387,0.925
388,0.75
389,0.77
390,0.87
391,0.605
392,0.625
393,0.76
394,0.64
395,0.72
396,0.765
397,0.71
398,0.505
399,0.97
400,0.535
401,0.635
402,0.955
403,0.905
404,0.645
405,0.73
406,0.605
407,0.51
408,0.76
409,0.545
410,0.535
411,0.715
412,0.97
413,0.63
414,0.55
415,0.955
416,0.95
417,0.835
418,0.93
419,0.93
